,Text,Star,Compound Value,Ground Truth,,
48,"Hate it, I have been using the Google search widget for years, I click the microphone and talk, its been good just a beep letting me know its ready, now I click the microphone and I hear ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" I DO NOT NEED TO BE ASKED ANYTHING.... ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP""",1,1,0,,
49,Good serving,1,1,1,,
50,"🤦🏼🤬 I don't know why I'm still trying. I feel like a fool, the donkey hitting the head on the same stone over and over again 🤦🏼🥲 Your browser is okay when it works, but I'm done with those pages getting stuck again and again, nothing works until I force stop the app and reboot it again. Very dissapointing 😔👋",1,1,0,,
51,Fresh,1,1,0,,
52,Excellent,1,1,1,,
53,My chrome app not update in my phone.why ? Please help,1,1,0,,
54,Do not like many issues it was ok before but recentlyit just wont work properly I,1,1,0,,
55,Not able to update. There is certainly some issue with crome,1,1,0,,
56,Cannot update fails everytime even after clearing cache,1,1,0,,
57,😃I searched up dady chill 😎 and the acsaint😃😃😈💀🖕🖕🖕🖕🖕 and my dad heard that😅😍😍,1,1,0,,
58,Cool app,1,1,1,,
59,Good on searching not on updating and installing,1,1,0,,
60,Keeps glitching. The page keeps freezing on me. This chrome app needs to be fixed right away and updated as well. Very useless app and not worth my time. Please fix your glitches and updated. Your lucky you pepole got a star at all in your ratings. If you want 5 stars. Then fix this app.,1,1,0,,
61,Hi google. My xiaomi note 9s cant seem to update. Cn you help?,1,1,0,,
62,Will not update no matter what,1,1,0,,
63,Nice n fast,1,1,1,,
64,Good,1,1,1,,
65,Really disappointing to see the recent updates with all the crashes and bugs going off around. Such a shame for a great company like google.,1,1,0,,
66,I can't update this app. I hit update and it doesn't do anything. My phone has been crashing and running slow. I started using Duck Duck Go as my browser and have had better luck.,1,1,0,,
67,Nice,1,1,1,,
68,All free ads pop up,1,1,0,,
69,A lil terrible but if you do know how to fix this please fix it. The thing is when i open something to download inside of chrome it shows ads. And its bothering me from the view. If you know how to fix this please kindly fix it.,1,1,0,,
70,"Still not allowing updates to this one app on Galaxy S20. Other apps update just fine... Come on Google, seriously? This is your very invasive OS, with your invasive permissions and applications, yet somehow you can't just update your browser program?",1,1,0,,
71,"Please bring back previous interface. The new tab interface is sooooo confusing with link only, no webpage image like the previous chrome. Pleaseeeeeee",1,1,0,,
72,Good,1,1,1,,
73,Best app,1,1,1,,
74,Missing extensions support is big disadvantage of this browser. Use another better browser.,1,1,0,,
75,"Not working as good , it should be jser friendly",1,1,0,,
76,Worked great until I updated and now I can't even open it. Way to go! How long until this is fixed and we can search things?,1,1,0,,
77,Constantly freezes and display a white blank page after being able to load a certain page.,1,1,0,,
78,"I don't know whether the app is high. Almost all the time nothing displays when the app is launched, it just appears dark",1,1,0,,
79,For two months it says that Chrome is ready for update. Every time I press the update button nothing happens.,1,1,0,,
80,Chrome has been wonderful over the years for me but for some reason the app will not update. I cleared out all my cache and storage and it's still not updating. I don't know why !!!!! Can please some one help me!!!!!!!!!!,1,1,0,,
81,U need to add vpn to it to protect people's IP Address because it not very secure or private . Add adblocker.,1,1,0,,
82,Won't update. Not secure.,1,1,0,,
83,"Not only do I not have the option to turn off the extremely glitchy group tab feature that google support has no answers for, but I can no longer add tabs to my home screen instead of bookmarking them (sync feature doesn't work so I can't view bookmarks or full history on other devices, support doesn't have answers for that either).",1,1,0,,
84,Sir I unable to update this app Sir please help me to update it,1,1,0,,
85,The update closed all my tabs and now I can't find the things I had open! if it's going to close your tabs give a warning so you can like screenshot what you have open or something.,1,1,0,,
86,I wish i didnt update.,1,1,0,,
87,I don't no anythingthats on this phone,1,1,0,,
88,"Yo after this update, chrome is booty cheeks bruh on god",1,1,0,,
89,"Wish I could rate it a zero. Ever since I updated all it does is send messages saying I have a virus and constant adds. Tried to delete the update, but it still keeps doing it.",1,1,0,,
90,Great,1,1,1,,
91,I don't want my business shared with anyone. I have been violated. I want sharing my information off. Please clear sharing with everyone.,1,1,0,,
92,"This app will not update. So I'm gonna uninstall and download a better web bro see l tellwser. Let's hope that it does automatic updates, is safe and especially reliable. Google being one of the biggest Tech Giants today, we would at least think that the app would not of been this long without being fixed. Another reason I'm uninstalling is because of the length of time I have gotten linked back to the play store to update the app that simply won't do anything you can not even open the app.",1,1,0,,
93,Can not update at all. Please advise,1,1,0,,
94,Good,1,1,1,,
95,This app not updated yet I already trying again and again but not updated poor service,1,1,0,,
96,Nahi ho raha ha updated,1,1,0,,
97,super,1,1,1,,
98,😲😲😲😲😲😲😲😲,1,1,0,,
99,Nice,1,1,1,,
100,Is fast secure I love it,1,1,1,,
101,Not so good also not bad,1,1,1,,
102,"it simply doesn't work. whenever i try to search something on google and open a certain link, the screen just goes black, and after some long seconds (maybe 30?), it crashes. it also takes a very long time to back up after trying to open the link. after noticing this, i went to the google app store to see if i had to update it, and it does show in fact that it needs an update, but it just doesn't. it's either stuck on ""pending"" or just stops. please try to fix this asap!",1,1,0,,
103,Good,1,1,1,,
104,Honestly if I could give it less I would. Cant even searcg anything after the update,1,1,0,,
105,"When I try to update this app It doesn't allow me to. Well, I don't think it's my phone's fault. I clean the cache and couldn't uninstall to install back. Is there any way I can update this app?",1,1,0,,
106,Its constantly showing clean phone after i cleaned it,1,1,0,,
107,Plz how do u delete this,1,1,0,,
108,Won't update and can't use it much and it's the only browser I have and use please fix this,1,1,0,,
109,Trying to update chrome for over a week now and it refuses to update...it is 2 months now still can't update...I've given up and moved to DUCKDUCKGO....MUCH BETTER quick for loading and best for privacy...won't be going back to Google Chrome,1,1,0,,
110,"The ""feature"" that allows Chrome to offline pages to save data is instead very inconvenient bug. I can't even get the page to load from a refresh, it always hits the offline cache. This probably works fine for SPAs but not server-side rendered sites.",1,1,0,,
111,Its not responding to my request when I am searching or visiting a link. Please fix this. Thanks.,1,1,0,,
112,Pls...Google tell me the reason why I m not able to update Google Chrome??.. I addressed the issue last time as well... Its second time..I m asking you to fix it as fast as possible..as it is the only browser I use..,1,1,0,,
113,"Always have to download updates from apkmirror, update from here crashes chrome! Update: Bromite is so much better, comes with ad-blocker too.",1,1,0,,
114,Fine,1,1,1,,
115,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1,1,0,,
116,Good,1,1,1,,
117,Please help me chrome team Google chrome new update is showing in play store when I click on update the app is not updating please help me 🙏🙏🙏,1,1,0,,
118,Chrome is not getting update i have click on update button but it get canceled immediately i have tried many times but same is happening. Please fix this!!,1,1,0,,
119,Unable to update the application on Samsung tab a. Please help Google developer,1,1,0,,
120,I updated just before 5 mins and its keep crashing. It freezes on startup and not able to any thing. It shows internet connection issue but on other side am getting continuous emails. Please fix.,1,1,0,,
121,"I've just accessed my apps and games library specifically to see whether I've missed an update; I don't know what's going on but I'm having a lot of issues with this browser - this is new, 3 weeks or so - I was beginning to think I needed a new tablet:- please fix the issues.",1,1,0,,
122,Best app ever,1,1,1,,
123,I AM NOT ABLE TO UPDATE GOOGLE CHROME I DON'T KNOW WHY THIS PROBLEM IS OCCURING KINDLY FIX IT PLEASE,1,1,0,,
124,This is to bring to your notice to an urgent solution for updating the the chrome app in my mobile handset.  I am not able to update the chrome app through play store after continuously trying for several times.  Please provide an urgent solution for the same.  Thank you,1,1,0,,
125,"My security, says to update, and chrome, will not update.",1,1,0,,
126,It says there is an update? But it will NOT UPDATE.... no matter what I do? What's going on Google? I rely on Google Chrome as my #1 Search.... Please get this FIXED!,1,1,0,,
127,Nice,1,1,1,,
128,I want to update Chrome browser but it cant processing,1,1,0,,
129,"It won't let me use Google chrome without updating the app, but then it won't let me update it! PLEASE FIX THIS ASAP!!",1,1,0,,
130,Nit abke to update... Tried more than 100 times Can somebody help,1,1,0,,
131,Unable to update on my oppo a9 2020. I uninstalled previous updates and tried to clear all data cache of google play store and chrome. Still it is not updating.,1,1,0,,
132,Good,1,1,1,,
133,Please update my Google Chrome app Please help,1,1,0,,
134,Why can't I update chrome to the latest version in my redmi k20 ? Is it a bug or anything else ? Please fix it .,1,1,0,,
135,"What the heck happened to Google Chrome???!!! It used to be awesome just two days ago, and now it seems like a trash. I can't update it or download anything by using it. Please fix this early so that it can be useful like it before...",1,1,0,,
136,I can't get out of here! Help!🥺🙄,1,1,0,,
137,I cannot update the chrome. It has some issues. Please resolve it for me.,1,1,0,,
138,I cant even update the app on my phone how funny is that. Everytime i hit update it starts and stops instantly. What a Joke.,1,1,0,,
139,Great,1,1,1,,
140,App doesn't even update just like all the previous responses since Dec roll-out,1,1,0,,
141,He is a good app,1,1,1,,
142,Slow Internet download speed even my internet is stable!,1,1,0,,
143,"Won't run crashes on startup, excellent testing there 🤔",1,1,0,,
144,"I'm disappointed in Google to removing conservative apps, blocking conservative news. They have become true communists like China. Im removing everything Google! and I'm going to encourage everyone I know to not use any Google apps anymore. Get ready Google, we the people made you, we can destroy you.",1,1,0,,
145,This app is not working for me. Everytime i open notices it stays on the same site. I dont understand it. Its stuck on the same site. I uninstalled and reinstalled and still the same. HELP?????,1,1,0,,
146,Not able to update this application .. pls help..,1,1,0,,
147,Good,1,1,1,,
148,How can delete me chrome on my phone Tell me please,1,1,0,,
149,So good,1,1,1,,
150,Please update my chrome,1,1,0,,
151,Good,1,1,1,,
152,"Used to be a good but it won't update now so it doesn't work properly because it will not update! Even though everytime I open the app it tells me to update but when I click on update it says ""pending"" then stops....?",1,1,0,,
153,Best app ever,1,1,1,,
154,"Android System Webview prevents Google chrome from updating. Do something. It first occurred on 10/5 2020, and 1-12-21 today.",1,1,0,,
155,Value saching,1,1,1,,
156,Google has tracked my every move on line and offline sending me ads for text I have sent to friends like I need a oil change bro then boom when I get online I got advertisements trying to sell me oil changes. I have told friend in chat about a certain boot I wanna get boom the brand and the exact model is on my page. They have censored my search history to what I wanna look for they shift me going another way scary site stay away no good,1,1,0,,
157,"Won't update, cannot get the update to work. Tried on wifi and mobile data nothing worked. Used to be an awesome browser but if I can't update it then security falls below standard and my information is at risk. Fix this asap.",1,1,0,,
158,Good,1,1,1,,
159,Good App,1,1,1,,
160,It won't freaking load,1,1,0,,
161,Good,1,1,1,,
162,Absolute rubbish. It will consume every last available bit of memmory resources on your phone untill it crawls everything down to a standstill and crash. Google seems to think that all devices these days have 32gb ram and 16 core processors dedicated to run google apps,1,1,0,,
163,Unable to update my Google Chrome browser. Please fix this,1,1,0,,
164,I can update my chrome app please resolve this problem.,1,1,0,,
165,"Its not possible for me to update my google Crome, since i have purchased my phone.can you please find a solution for this issue.",1,1,0,,
166,I want to update this but not happening,1,1,0,,
167,good,1,1,1,,
168,It won't update no matter how much I try to make it. Even on other devices.,1,1,0,,
169,"It will not update on my android cell. It's forever trying, but never completes. Should I delete it first from my cell? I don't want to mess up some other App,",1,1,0,,
170,no spam,1,1,0,,
171,Not letting me update did everything fix please !!! Zero stars,1,1,0,,
172,Plezz support Android 4.4.4,1,1,0,,
173,"The app can't be updated, I've been trying to update it for months now, but it won't update... That's bad.",1,1,0,,
174,I can't update this app Plz help,1,1,0,,
175,Can't wait for government to take you down lol,1,1,0,,
176,"I dont know what's happening right now but google isn't working at all for me, cant look anything up, the app closes and says that it's not working, so I thought maybe its because I havent updated it in like a million years, so I click the update button and it dosent work, I dont know what ti do right now?",1,1,0,,
177,Google is better,1,1,1,,
178,Last some moth has been not upadate working apps. So pls help ful solv this problem I'm my phone,1,1,0,,
179,"Straight up won't update. Even has a notification in-app telling me to update, but it refuses to do it. Pixel 3a XL",1,1,0,,
180,I'm being stalked. HELP,1,1,0,,
181,From last 4 month i will be try to update this app but its not be done.... Shame on you,1,1,0,,
182,I am unable to update my app Kindly help me in this regard,1,1,0,,
183,Nice,1,1,1,,
184,Not able to update this using goole play do something,1,1,0,,
185,"so happy to say im finally getting rid of google chrome. it was difficult for a long time due to a lack of alternatives but the developers made it very easy to uninstall by making the browser more and more garbage and unusable, much appreciated, thank you <3!",1,1,0,,
186,Better,1,1,1,,
187,Cool,1,1,1,,
188,"App won't update at all, tried restarting the phone numerous times as well as clearing all app data and it still won't update, browser is currently slow and cannot access some sites.",1,1,0,,
189,I cant update my chrome from 19th jan 2020. Please help me out,1,1,0,,
190,Good,1,1,1,,
191,Wonderful,1,1,1,,
192,Not updating Worst app,1,1,0,,
193,Past 4 days Google chrome is not working at all I don't know why it is happening please solve the issue,1,1,0,,
194,Good,1,1,1,,
195,Super,1,1,1,,
196,I can't update my Chrome since 6 months whenever play store shows me the updates of other applications the update of Chrome also shows but it doesn't update,1,1,0,,
197,Wonderful,1,1,1,,
198,Good,1,1,1,,
199,Google you need to fix chrome it's giving me 90s vibes the way it's so slow and it keeps crashing I have to uninstall then reinstall to fix it. What's up?!,1,1,0,,
200,Nice app i like this app,1,1,1,,
201,Unable to update the app via play store.,1,1,0,,
202,"Google chrome sucks. All of my settings are inoperable, unmanageable and reflect the opposite despite my wishes, sync, or available options. I'M NOT MANAGED I'M NOT ON A POLICY, BUT IT ACTS AS IT IS WITHOUT CONFIRMATION OR DENYING.. FML PLEASE MAKE IT STOP",1,1,0,,
203,The app refuses to update. When I try to force update it cancels the update. If I need to start using another browser I will but hopefully this gets fixed soon.,1,1,0,,
204,It has a virus on it and now it has the virus on my phone. Hopefully this will be fixed fast.,1,1,0,,
205,Not bad,1,1,1,,
206,Can't update 😕,1,1,0,,
207,"Please bring back the scrollable tabs because it was an easy and quick way to choose a tab no matter if there were 5 or 50. Also, please make life unbearable for all the idiots who decided to change it. Thank you",1,1,0,,
208,Nice,1,1,1,,
209,Not getting updating on android phone via play store.,1,1,0,,
210,Google steals data and now is starting to become the enemy of the County by manipulate data to benefit China and other countries that align against the US. Brave and other secure browsers are better.,1,1,0,,
211,"Why i can't update this app?? please someone,answer me...",1,1,0,,
212,"The app always request me to update it...but when I try to update it doesn't update as normal as other applications,please try to solve this issue.",1,1,0,,
213,Very Heavyweight and battery draining app taking 3.2 GB space. Also this app cannot be moved to the SD card so that some space could have been saved from the phone memory.,1,1,0,,
214,"No privacy. Use Brave, Firefox or DuckDuckGo instead.",1,1,0,,
215,I can not update Google Chrome please help me to solve this issue,1,1,0,,
216,"nice,✨",1,1,1,,
217,"Dear developer ..... I can't update Google chrome.....so, I think you must be solve this issue as soon as possible...",1,1,0,,
218,app keeps crashing and i cant update it. going to look for a better browser,1,1,0,,
219,"Aibo im robbed, who ever is making updates is robing me. I've been trying to update the app but guess what... The 1st time it stoped at 98% downloading and started again, then when it reached 100% it continued to download . aibo my data you people ahh man no. I love this app dont make me switch.",1,1,0,,
220,Not able to update. Please check and advice on it. Even still the same pleoblem is going on.,1,1,0,,
221,New update forces tab groups. Even after disabling them they turn back on. I'm perfectly capable or making my own damn tab decisions I don't need y'all doing it for me.,1,1,0,,
222,I'm not be able to update my crome browser when there is already showing for update. Every times I want to update it's just crashed,1,1,0,,
223,Not updating stuck at 99%.,1,1,0,,
224,Good,1,1,1,,
225,Whats going on??? Have had trouble since 2020 and its now 2021 and the app will not update does anybody care!!!!,1,1,0,,
226,Not updating.... Worst day by day,1,1,0,,
227,Excellent,1,1,1,,
228,I don't like the new tabs I liked the way it was before. Google is always fixing things that aren't broken just learn too leave well enough alone.,1,1,0,,
229,Awesome,1,1,1,,
230,Not responsible worst working now itself from 19,1,1,0,,
231,Not updated my app google help me,1,1,0,,
232,"Still can't update, really sucks for now",1,1,0,,
233,its so fuccing helpful,1,1,0,,
234,Good,1,1,1,,
235,Good luck with,1,1,1,,
236,1 questions_Updating problem pls remove Answer+ removed thanks Google,1,1,0,,
237,"Doesn't update, vulnerable to cyber flaws, poor security, transfer your history, exposes your searches to hackers, essentially every internet search engine is vulnerable, likely a religious group. Even though the search is secure, if people don't like you, or what you are viewing online, hackers essentially just break the law and think they can black mail a person or businesses, identify theft happens, due to hackers. I would suggest checking to make sure dish networks are secure.",1,1,0,,
238,Unable to update google chrome. Whenever new update comes in my play store .dont know why???,1,1,0,,
239,This update for Google Chrome doesn't work. How can we clear this supposed update from the cell phone?,1,1,0,,
240,🤙,1,1,0,,
241,"Remove the option of ""Close all tabs"" from the menu.. or atleast move it some place where I can't accidentally click it.",1,1,0,,
242,Can't update Any ideas please,1,1,0,,
243,"Still regressing. The discovery articles are trash, again. Still can't swipe away, now get suggestions that sometimes a year old, and now there's not even a more option at the bottom or anyway to refresh them. Thanks dumbasses",1,1,0,,
244,It just won't update no matter what I do like it will not download the updates at all,1,1,0,,
245,The App very good,1,1,1,,
246,good app,1,1,1,,
247,"Hi, I am having a problem with latest update. I can't upload files on my samsung tab s6 lite. Every time I am trying to open a file browser for upload it closes. I tried to do it with opera and Firefox and it works with them perfectly.",1,1,0,,
248,Literally unusable. I got to bed to wake up to 40 tabs opened about virus alerts and malware attacks. Who has other good browser recommends.,1,1,0,,
249,I m not uble to update my....chrome don't no why...but I m not able to click on update button. Till today I m not able to update my google chrom app,1,1,0,,
250,don't like a new update at alllllll please change it back to old one,1,1,0,,
251,I want to opening it,1,1,0,,
252,i am not able to update pls fix it,1,1,0,,
253,Please Google remove your update why are you giving updates while update not working..,1,1,0,,
254,😄😃☺😉😁😌 Good Luck To U 🎄,1,1,1,,
255,Thx for the tabs,1,1,0,,
256,Chrome not updating 💔please help me,1,1,0,,
257,Taking Huge space,1,1,0,,
258,"Drains battery like crazy, updates are buggy.",1,1,0,,
259,"Please give me an option to remove the tab groups and go back to previous UX with one list. You just made my life way much more complex, i cannot find the tabs i need...",1,1,0,,
260,4th Feb update 😖☠ i liked that grouping tab and all. If there are some changes there should be a way to enable disable features☠,1,1,0,,
261,"Why the phuck can I not go to bookmarks anymore, this app is becoming a laughing stock",1,1,0,,
262,I can't updated this app pls help us,1,1,0,,
263,So many bugs no matter which phone I use,1,1,0,,
264,Free mb,1,1,0,,
265,I am unable update crome in play store.not sure reason. Please help me to fix the issue.,1,1,0,,
266,"Does not update, automatically or manually. I've tried every which way to do this. Also noticed that lately, the browser is slow, and many images don't appear! Perhaps the update would fix this...except well, itv went update!",1,1,0,,
267,Best,1,1,1,,
268,New tab system is annoying. Please enable duet chrome tab again. Please ! Also please stop changing the UI again and again.,1,1,0,,
269,Pop ups are like a virus with chrome,1,1,0,,
270,"I am happy with the simplicity of this app, but it trakes and keeps all user's data. And now, I don't know why but I am unable to update the app using Google Play Store. Please try fixing this bug as earliest of possible and let user have some privacy and don't play with users' centiments.",1,1,0,,
271,"Does not update, Galaxy S20 FE. It would be nice if the update was properly tested before it is placed for users to use. Otherwise, I started to think that we get one more mICROSOFT instead of Google",1,1,0,,
272,This page uses too much memory so chrome removed some content Annoying more than useful ease fix it,1,1,0,,
273,Guys pls developers help me my chrome is not working and my Google too. Its bot getting updated and also not doing any searches only blank pages,1,1,0,,
274,It's complicated...on purpose I'm sure ....a little awareness as to where we ought to be setting our phones would be very much appreciated?!,1,1,0,,
275,Ok,1,1,1,,
276,Won't update via Google Play. Thought issue was specific to Huawei phones but it's also the same for my samsung s21 ultra...,1,1,0,,
277,Poco m3 not getting update plz solve it,1,1,0,,
278,"Rubbish... Don't bother.... won't install the update...not worth the hassle of clearing cache, switching off phone or dancing naked round a chocolate toffee in the pouring rain....JUST FIX THE UPDATE SO YOU DON'T HAVE TO KEEP MESSING AROUND....",1,1,0,,
279,Screwed up! It's constantly signing me out. Calling this app 💩 is being generous,1,1,0,,
280,Please stop sending messages that contain ad,1,1,0,,
281,"I want to update this app but that's didn't happen, I have infinix hot 9 pro mobile, please how to update this app, tell me",1,1,0,,
282,Good,1,1,1,,
283,Not updating.. How can i solve this issues please help🙏,1,1,0,,
284,Any page that found that may help when I open the page it's a sorry this page cannot be Found. Not a lot of help,1,1,0,,
285,Please check the update,1,1,0,,
286,Super,1,1,1,,
287,I don't like grouping of cards. I switched it off with the flags but it turns itself on again. Let me decide for myself what I like.,1,1,0,,
288,New update is super annoying with recent tabs. Please give an option for both. A tab within a tab? Tabception. Uninstalling and getting the old version. This is garbage and not user friendly in the least bit. Amazing that a multi billion dollar company put this out,1,1,0,,
289,Nice,1,1,1,,
290,When I am trying to update the app it isn't working plz zzz fix this,1,1,0,,
291,Won't update same problem consistently never fixed,1,1,0,,
292,I am unable to update the chrome kindly look into it and help me sorting out this,1,1,0,,
293,"I FIND IT VERY DIFFICULT UPDATING MY GOOGLE CHROME, PLEASE HELP. IT KEEPS SPOOLING AND NO RESULT",1,1,0,,
294,Plz ur the app does not update even if u try does not update why,1,1,0,,
295,This app not updating on my phone. So tell me that how I am updating this app .. Thanks,1,1,0,,
296,Ok,1,1,1,,
297,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1,1,0,,
298,Takes 5 ever but it's having help right L S,1,1,1,,
299,There are many glitches and it is not updating fix these glitches please,1,1,0,,
300,Super,1,1,1,,
301,Ok,1,1,1,,
302,Why I can't update? I have tried the link given but the result still the same. Is it okay for me NOT to update? Will it effect the Chrome performance?,1,1,0,,
303,If I update a chrome its updated but I open and use chrome it asking me to update but I updated the chrome I using chrome in samsung tablet version 4.1.2 please solve my issue please my tab samsung tab 3,1,1,0,,
304,good,1,1,1,,
305,Always freezes and I don't support those who need with free speech,1,1,0,,
306,Bilkul bakar ha apps bhout jaldi ya apps hank karne lagta ha aoor ubdate Kar rha hu to ubdate bhi nhi ho rha ha,1,1,0,,
307,Nice app for us guys 2,1,1,0,,
308,Very useful for me keep using guys good app !!!,1,1,0,,
309,Unable to update Chrome app please find and fixed,1,1,0,,
310,Better,1,1,1,,
311,It is very nice application the application developer unless you delete them,1,1,0,,
312,"This was good but the newest update makes way harder to navigate. By like why did you remove the ""open in new tab"" it was so useful and now these groups make it harder to browse.",1,1,0,,
313,Not working. Worst update for mobile devices,1,1,0,,
314,If it's not broken don't change it. Who thought it would be a good idea to change the tabs view option? I hate it! At least give me the option to bring it back!,1,1,0,,
315,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1,1,0,,
316,Good,1,1,1,,
317,Ok,1,1,1,,
318,Please remove the group tab feature,1,1,0,,
319,"When playing games 3hours my phone not get heated but using Chrome for using 30minutes its heat up my phone fastly, drain battery fastly",1,1,0,,
320,Card view was much better! I definitely need it to be returned,1,1,0,,
321,I can't update it plz help me out,1,1,0,,
322,I can't able to update my Google chrome please I need help asap,1,1,0,,
323,Very good,1,1,1,,
324,You sent me a corrupt email by linking it to my new third phone and I lost my internet. Can't make calls. It's dropping calls more now so I know I am about to loss another phone. I have repeatedly asked you for help. Erasing my email won't fix it either. Because I have tried. I have bought three phones only to have you send me link to to a hacker. Plus they got into my bank. Thanks.,1,1,0,,
325,App will not update. Terrible interface. Honestly one of the worst browsers in existence.,1,1,0,,
326,Chrome is not updating in my note 7 Pro pls repair the issue,1,1,0,,
327,❤😙,1,1,0,,
328,Good,1,1,1,,
329,please fix the tabs. I hate the new tabs. Better give back the old tabs:),1,1,0,,
330,Previous version was much better,1,1,0,,
331,It doesn't update.. Worst experience...,1,1,0,,
